URL,continent,Weekofyear,Streams,Track Name,Artist
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,GLOBAL,2017W08,30713454.333333332,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Europe,2017W08,10540029.5,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,North America,2017W08,9186998.799999999,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Asia,2017W08,3355347.8000000003,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,South America,2017W08,1726541.25,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Oceania,2017W08,1136808.75,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,GLOBAL,2017W09,30604350.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Europe,2017W09,12670294.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,North America,2017W09,10224560.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Asia,2017W09,4330710.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,South America,2017W09,1881876.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Oceania,2017W09,1435369.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,GLOBAL,2017W10,29197158.666666664,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Europe,2017W10,12622239.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,North America,2017W10,9259155.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Asia,2017W10,3925768.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,South America,2017W10,1891663.0,Something Just Like This,The Chainsmokers
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Oceania,2017W10,1386954.0,Something Just Like This,The Chainsmokers
